cinsiyet;fakulte;bolum;ders;egitim;platform;performans;haber1;haber2;haber3;haber4;haber5;haber6;haber7;haber8;haber9;haber10;haber11;haber12;haber13;haber14;haber15;haber16;haber17;haber18;haber19;haber20;haber21;haber22;haber23;haber24;arastirma;ders_acilsin_mi;performans_kotu
Erkek;Mühendislik Fakültesi;Makine Mühendisliği;Hayır;Hayır;Instagram;12;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;2;Hayır;12
Erkek;Mühendislik Fakültesi;Makine Mühendisliği;Hayır;Hayır;Haber Uygulamaları;18;0;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;4;Evet;6
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Hayır;Hayır;Twitter;18;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;3;Hayır;6
Kadın;Eğitim Fakültesi;Özel Eğitim Öğretmenliği;Hayır;Hayır;Haber Web Siteleri;18;0;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;4;Evet;6
Erkek;Mühendislik Fakültesi;Makine Mühendisliği;Hayır;Hayır;Haber Web Siteleri;19;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;3;Hayır;5
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Twitter;16;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;4;Evet;8
Kadın;Eğitim Fakültesi;İngilizce Öğretmenliği;Hayır;Hayır;Twitter;15;0;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;4;Evet;9
Erkek;Mühendislik Fakültesi;Makine Mühendisliği;Hayır;Hayır;Twitter;16;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;3;Evet;8
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Evet;Evet;Diğer;20;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;4;Evet;4
Erkek;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Haber Uygulamaları;13;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;4;Hayır;11
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Twitter;13;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;3;Hayır;11
Erkek;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Twitter;18;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;Hayır;6
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;TV;18;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;4;Hayır;6
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Hayır;Hayır;Instagram;19;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;4;Hayır;5
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Hayır;Hayır;Twitter;17;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;2;Evet;7
Erkek;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Instagram;12;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;5;Evet;12
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Instagram;13;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;4;Evet;11
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Evet;Hayır;Haber Uygulamaları;11;0;1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;4;Hayır;13
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Evet;Hayır;Instagram;13;1;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;3;Hayır;11
Erkek;Mühendislik Fakültesi;Makine Mühendisliği;Hayır;Hayır;Twitter;16;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;4;Hayır;8
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Evet;Hayır;Haber Web Siteleri;15;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;4;Evet;9
Erkek;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Diğer;15;0;1;1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;0;1;4;Hayır;9
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Twitter;15;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;4;Evet;9
Erkek;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Haber Web Siteleri;18;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;4;Evet;6
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Evet;Hayır;Twitter;16;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;3;Hayır;8
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Instagram;12;1;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;4;Hayır;12
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Diğer;15;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;3;Evet;9
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Instagram;15;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;3;Evet;9
Kadın;Eğitim Fakültesi;Biyoloji Öğretmenliği;Evet;Hayır;Twitter;8;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;2;Evet;16
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Instagram;19;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;3;Evet;5
Kadın;Fen Fakültesi;Aktüerya Bilimleri;Hayır;Hayır;Twitter;13;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;1;2;Evet;11
Kadın;Mühendislik Fakültesi;Kimya Mühendisliği;Hayır;Hayır;Twitter;16;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;1;3;Evet;8
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Instagram;19;1;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;3;Evet;5
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Twitter;17;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;3;Hayır;7
Kadın;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Instagram;18;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;Hayır;6
Kadın;Mühendislik Fakültesi;Geomatik Mühendisliği;Hayır;Hayır;Instagram;17;1;0;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;3;Evet;7
Erkek;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği;Hayır;Hayır;Twitter;19;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;4;Hayır;5
Erkek;Mühendislik Fakültesi;Nükleer Enerji Mühendisliği;Hayır;Hayır;Twitter;16;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;4;Hayır;8
Erkek;Mühendislik Fakültesi;Nükleer Enerji Mühendisliği;Hayır;Hayır;Twitter;20;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;4;Evet;4
Kadın;Mühendislik Fakültesi;Makine Mühendisliği;Hayır;Hayır;Diğer;18;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;3;Evet;6
Erkek;Fen Fakültesi;İstatistik;Hayır;Evet;Diğer;18;1;1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;4;Evet;6
Kadın;Eğitim Fakültesi;Özel Eğitim Öğretmenliği;Evet;Hayır;Instagram;20;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;3;Evet;4
Erkek;Mühendislik Fakültesi;Endüstri Mühendisliği;Hayır;Hayır;Twitter;20;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;4;Hayır;4
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Twitter;18;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;3;Evet;6
Erkek;Fen Fakültesi;Biyoloji;Evet;Hayır;Diğer;13;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;2;Hayır;11
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Twitter;13;1;1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;4;Evet;11
Kadın;Fen Fakültesi;Biyoloji;Hayır;Hayır;Twitter;13;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;4;Hayır;11
